,Atoms,Step,Temp,PotEng,KinEng,Press,Volume,Density,TotEng,c_pern,c_kern
204,36.0,0.0,0.0,-4480.1332,0.0,2.7893115,884736.0,0.00056355801,-4480.1332,-4480.1332,0.0
205,36.0,0.0,0.0,-4475.7151,0.0,0.13738285,884736.0,0.00056355801,-4475.7151,-4475.7151,0.0
206,36.0,0.0,0.0,-4494.3604,0.0,-6.3933779,884736.0,0.00056355801,-4494.3604,-4494.3604,0.0
207,36.0,0.0,0.0,-4470.3007,0.0,-9.0777947,884736.0,0.00056355801,-4470.3007,-4470.3007,0.0
208,36.0,0.0,0.0,-4498.7641,0.0,-29.990432,884736.0,0.00056355801,-4498.7641,-4498.7641,0.0
209,36.0,0.0,0.0,-4549.4721,0.0,11.199275,884736.0,0.00056355801,-4549.4721,-4549.4721,0.0
210,36.0,0.0,0.0,-4516.8687,0.0,-18.670581,884736.0,0.00056355801,-4516.8687,-4516.8687,0.0
211,36.0,0.0,0.0,-4471.399,0.0,-53.374099,884736.0,0.00056355801,-4471.399,-4471.399,0.0
212,36.0,0.0,0.0,-4511.7836,0.0,1.9859098,884736.0,0.00056355801,-4511.7836,-4511.7836,0.0
213,36.0,0.0,0.0,-4491.712,0.0,-1.3909303,884736.0,0.00056355801,-4491.712,-4491.712,0.0
214,36.0,0.0,0.0,-4520.1548,0.0,-21.898463,884736.0,0.00056355801,-4520.1548,-4520.1548,0.0
215,36.0,0.0,0.0,-4477.4666,0.0,-13.245435,884736.0,0.00056355801,-4477.4666,-4477.4666,0.0
216,36.0,0.0,0.0,-4484.473,0.0,-9.2618446,884736.0,0.00056355801,-4484.473,-4484.473,0.0
217,36.0,0.0,0.0,-4458.1069,0.0,-4.0714116,884736.0,0.00056355801,-4458.1069,-4458.1069,0.0
218,36.0,0.0,0.0,-4519.5487,0.0,-15.732891,884736.0,0.00056355801,-4519.5487,-4519.5487,0.0
219,36.0,0.0,0.0,-4473.2696,0.0,0.21218847,884736.0,0.00056355801,-4473.2696,-4473.2696,0.0
220,36.0,0.0,0.0,-4503.3071,0.0,-32.785513,884736.0,0.00056355801,-4503.3071,-4503.3071,0.0
221,36.0,0.0,0.0,-4472.9068,0.0,-2.2275559,884736.0,0.00056355801,-4472.9068,-4472.9068,0.0
222,36.0,0.0,0.0,-4484.8741,0.0,-46.879619,884736.0,0.00056355801,-4484.8741,-4484.8741,0.0
223,36.0,0.0,0.0,-4477.6374,0.0,7.1902271,884736.0,0.00056355801,-4477.6374,-4477.6374,0.0
224,36.0,0.0,0.0,-4473.1119,0.0,-14.04136,884736.0,0.00056355801,-4473.1119,-4473.1119,0.0
225,36.0,0.0,0.0,-4506.2921,0.0,-23.928836,884736.0,0.00056355801,-4506.2921,-4506.2921,0.0
226,36.0,0.0,0.0,-4479.7074,0.0,-22.144649,884736.0,0.00056355801,-4479.7074,-4479.7074,0.0
227,36.0,0.0,0.0,-4471.692,0.0,-31.711696,884736.0,0.00056355801,-4471.692,-4471.692,0.0
228,36.0,0.0,0.0,-4471.5805,0.0,14.781268,884736.0,0.00056355801,-4471.5805,-4471.5805,0.0
229,36.0,0.0,0.0,-4461.9949,0.0,-18.096857,884736.0,0.00056355801,-4461.9949,-4461.9949,0.0
